id,name,domain,website,industry,segmento,country,state,city,num_associated_contacts,num_associated_deals,lifecyclestage,sources
37574180107,,smbb.agency,smbb.agency,,,,,,1,,,domain-agencia
39584576860,,imagem-publicidade.com,imagem-publicidade.com,,,,,,1,1,,domain-mkt
33054948024,#Diferencial Live Marketing,agenciadiferencial.com.br,agenciadiferencial.com.br,,Mídia e Conteúdo,,,,1,2,,name-mkt
40173609557,18 Comunicação,18net.com.br,18net.com.br,,Mídia e Conteúdo,,,,1,10,1246600764,name-mkt
39585039209,22 Marketing e Eventos,22mkt.com.br,22mkt.com.br,,Serviços Administrativos,,,,2,3,,name-mkt
33054639905,2t's Agency,2ts.agency,2ts.agency,,Mídia e Conteúdo,,,,1,,,name-agencia|domain-agencia
39586277187,3hree Comunicação,3hreecomunicacao.com.br,3hreecomunicacao.com.br,,,,,,4,3,,name-mkt
33055258285,4All Comunicação,4allcom.com,4allcom.com,,,,,,1,,,name-mkt
39588600243,4mais Servicos De Marketing E Gestao Empresarial,4mais.com.br,4mais.com.br,,,,,,1,1,,name-mkt
33513739057,770 Volts Comunicação,770volts.com.br,770volts.com.br,,Mídia e Conteúdo,,,,3,2,,name-mkt
33051853070,80 20 Marketing,8020mkt.com.br,8020mkt.com.br,,Mídia e Conteúdo,,,,2,,,name-mkt
37568175908,9dade Comunicação,9dade.net,9dade.net,,Mídia e Conteúdo,,,,1,,,name-mkt
39591463845,A2C,a2c.com.br,a2c.com.br,MARKETING_AND_ADVERTISING,Mídia e Conteúdo,Brazil,,,1,1,,industry
33077667963,ABDI - Agência Brasileira de Desenvolvimento Industrial,abdi.com.br,abdi.com.br,,,,,,3,3,,name-agencia
39580826503,Academia de Marketing,academiademarketing.com.br,academiademarketing.com.br,MANAGEMENT_CONSULTING,Mídia e Conteúdo,Brazil,Sao Paulo,Vila Nova Conceicao,1,1,,name-mkt
37046107476,Acervo Comunicação,acervocomunicacao.com.br,acervocomunicacao.com.br,,,,,,1,,,name-mkt
33594655301,ACT Comunicação,actcomunicacao.com.br,actcomunicacao.com.br,,,,,,1,,,name-mkt
33052161568,AD Comunicação & Marketing,adcomunicacao.com.br,adcomunicacao.com.br,,Mídia e Conteúdo,,,,1,,,name-mkt
39585967962,Adcom Comunicação Empresarial,adcompress.com.br,adcompress.com.br,PUBLIC_RELATIONS_AND_COMMUNICATIONS,Mídia e Conteúdo,Brazil,Sao Paulo,,1,1,,name-mkt
33788761892,Advance Agencia,,,,,,,,1,1,,name-agencia
33070878220,Advance Comunicação,advance.com.br,advance.com.br,,Mídia e Conteúdo,,,,1,1,,name-mkt
39591308845,Aero,aerocomunicacao.com.br,aerocomunicacao.com.br,MARKETING_AND_ADVERTISING,Mídia e Conteúdo,Brazil,,,1,1,,industry
33071808305,Aero Agency,aeroagency.pt,aeroagency.pt,,Varejo e Comércio,,,,1,,,name-agencia
33499094959,Agaxtur Agência de Viagem e Turismo,agaxtur.com.br,agaxtur.com.br,,,,,,1,,1062353184,name-agencia
33659685532,Agência 11onze,agencia11onze.com.br,agencia11onze.com.br,,Mídia e Conteúdo,,,,2,1,,name-agencia
33761803917,Agência 220 Produções,,,,Serviços Administrativos,,,,1,1,,name-agencia
33756104965,Agência 2bee,,,,,,,,1,1,,name-agencia
33652507225,Agência 307B,307b.com.br,307b.com.br,,Tecnologia e Comunicação,,,,1,,,name-agencia
33770388870,Agência 3ML Digital,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33054949021,Agencia 6P,6p.com.br,6p.com.br,,Mídia e Conteúdo,,,,3,1,,name-agencia
33502471179,Agência 7etti,agencia7etti.com.br,https://agencia7etti.com.br/,,Mídia e Conteúdo,,,,1,5,1246600764,name-agencia
40546588497,Agência 947,agencia947.com,agencia947.com,,,,,,1,1,,name-agencia
33596524628,Agência Aboutt,,,,,,,,1,3,1246600764,name-agencia
39496943681,Agência Administrar,joeliobarreto.com.br,joeliobarreto.com.br,,,,,,1,,,name-agencia
33079935909,Agência ADR,adragencia.com.br,adragencia.com.br,,Mídia e Conteúdo,,,,5,,,name-agencia
32953054820,Agência Adviser,agenciaadviser.com.br,agenciaadviser.com.br,,Serviços Administrativos,,,,4,5,,name-agencia
33660924966,Agência Affinity,agenciaaffinity.com.br,agenciaaffinity.com.br,,Mídia e Conteúdo,,,,3,1,,name-agencia
33596059495,Agência AG Produções,,,,Mídia e Conteúdo,,,,5,3,,name-agencia
33754556182,Agência Agil,,,,,,,,1,1,,name-agencia
33749501615,Agência Agile,,,,,,,,1,1,,name-agencia
33803203493,Agência AGM,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33595440239,Agência Agogô,agogopromo.com.br,http://www.agogopromo.com.br/,,Mídia e Conteúdo,,,,1,1,,name-agencia
33794952342,Agência AKM,,,,,,,,1,1,,name-agencia
33669192035,Agência Álamo,alamocomunicacao.com.br,alamocomunicacao.com.br,,,,,,2,2,,name-agencia
50595477409,Agência Aluminata,aluminata.com.br,aluminata.com.br,,Mídia e Conteúdo,,,,1,1,1246600764,name-agencia
33752853114,Agência Amarelo,,,,,,,,1,1,,name-agencia
33513258765,Agência América,agenciaamerica.com,agenciaamerica.com,,,,,,1,1,,name-agencia
33758731609,agência amzmp,,,,,,,,1,1,,name-agencia
33779294527,Agencia anima,,,,Mídia e Conteúdo,,,,1,2,,name-agencia
33581605232,Agência Anne Raldes LTDA,,,,Mídia e Conteúdo,,,,2,1,,name-agencia
33056188028,Agência Anova,agenciaanova.com.br,agenciaanova.com.br,,Mídia e Conteúdo,,,,1,,,name-agencia
33667799817,Agência Antonella,agenciaantonella.com,agenciaantonella.com,,Mídia e Conteúdo,,,,2,,,name-agencia
49781577649,Agência Asas,agenciaasas.com,agenciaasas.com,,Mídia e Conteúdo,,,,1,,1246600764,name-agencia
34033746089,Agência AT2D,,,,Mídia e Conteúdo,,,,2,2,,name-agencia
46450197575,Agência Atake,atake.com.br,atake.com.br,,Serviços Profissionais,,,,1,1,,name-agencia
33788451759,Agencia Ativa,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33774287187,Agência Atmo,,,,,,,,1,1,,name-agencia
35780712773,Agência B Travel,agenciabtravel.com.br,agenciabtravel.com.br,,,,,,1,,,name-agencia
33509928299,Agência B&B,agenciabeb.com.br,agenciabeb.com.br,,Mídia e Conteúdo,,,,1,,,name-agencia
33580691352,Agencia B3 ( MSD ),msd.com.br,https://www.msd.com.br,,Indústria,,,,1,1,,name-agencia
33784267348,Agência b9b,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33656088128,Agência Base3,base3.com.br,base3.com.br,,Mídia e Conteúdo,,,,2,1,,name-agencia
52831953048,Agência Batuca,agenciabatuca.com.br,agenciabatuca.com.br,,Mídia e Conteúdo,,,,5,4,1246600764,name-agencia
33752233372,Agência BBDA,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33759813807,Agencia BE Comunica,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33084963420,Agência Befoür,agenciabefour.com.br,agenciabefour.com.br,,Mídia e Conteúdo,,,,5,1,1062353184,name-agencia
33750739735,Agência Befour (Danone),,,,Mídia e Conteúdo,,,,1,2,,name-agencia
33788451733,Agencia Befour/Oficina,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
37220598631,Agência Bestuur,agenciabestuur.com.br,agenciabestuur.com.br,,,,,,1,1,,name-agencia
39582569242,Agência Beyondcomm,beyondcomm.com.br,beyondcomm.com.br,,Mídia e Conteúdo,,,,2,2,,name-agencia
52944698486,Agencia Bip Marketing,,,,,,,,1,1,1246600764,name-agencia|name-mkt
38286129004,Agência Boin Eventos,www.boineventos.com.br,www.boineventos.com.br,,Serviços Administrativos,,,,1,10,,name-agencia
33586034499,Agência Boreau,,,,Mídia e Conteúdo,,,,2,1,,name-agencia
33749655854,Agência Boutique 08,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33757800962,Agência Brave,,,,,,,,1,1,,name-agencia
39585657918,Agência Buzzina,agenciabuzzina.com,agenciabuzzina.com,,,,,,1,3,,name-agencia
33759813775,Agencia C8mkt,,,,,,,,1,1,,name-agencia
33085578316,Agência Cacau,cacau.co,cacau.co,,Mídia e Conteúdo,,,,3,1,,name-agencia
33660614943,Agência cake,agenciacake.com,agenciacake.com,,Mídia e Conteúdo,,,,2,1,,name-agencia
33084190722,Agência Canopus,agenciacanopus.com.br,agenciacanopus.com.br,,Serviços Administrativos,,,,1,2,,name-agencia
